TransactionID,ProductID,ProductName,Category,WarehouseID,SupplierID,Date,Quantity,UnitPrice,TotalValue,MovementType,StockLevel,ReorderPoint,SlowMoving
INV-0001,PRD-011,PCB Assembly,Electronics,WH-001,SUP-001,2024-05-20,135,1051.38,141936.7,Inbound,4517,144,Yes
INV-0002,PRD-010,Rice Basmati 25kg,Perishables,WH-004,SUP-001,2024-01-16,57,105.01,5985.72,Inbound,4647,201,Yes
INV-0003,PRD-012,Copper Wire 100m,Raw Materials,WH-005,SUP-007,2024-04-22,239,408.45,97620.36,Inbound,1357,457,No
INV-0004,PRD-007,Aluminium Sheet 2mm,Raw Materials,WH-003,SUP-005,2024-03-20,120,239.25,28710.44,Transfer,887,147,Yes
INV-0005,PRD-007,Aluminium Sheet 2mm,Raw Materials,WH-001,SUP-006,2024-06-25,319,202.89,64721.06,Inbound,3813,374,Yes
INV-0006,PRD-002,Steel Rod 10mm,Raw Materials,WH-004,SUP-002,2024-10-09,160,94.12,15059.98,Transfer,4779,198,Yes
INV-0007,PRD-012,Copper Wire 100m,Raw Materials,WH-001,SUP-001,2024-12-04,126,426.37,53723.14,Inbound,1957,151,Yes
INV-0008,PRD-007,Aluminium Sheet 2mm,Raw Materials,WH-003,SUP-008,2024-11-21,437,208.15,90963.16,Transfer,2960,207,Yes
INV-0009,PRD-011,PCB Assembly,Electronics,WH-003,SUP-002,2024-11-07,335,1037.06,347416.15,Outbound,1388,336,Yes
INV-0010,PRD-007,Aluminium Sheet 2mm,Raw Materials,WH-003,SUP-004,2024-12-16,176,233.25,41051.95,Inbound,1926,116,Yes
INV-0011,PRD-013,Stretch Film Roll,Packaging,WH-003,SUP-007,2024-05-17,43,61.93,2662.92,Transfer,1791,435,Yes
INV-0012,PRD-008,Bubble Wrap Roll,Packaging,WH-004,SUP-008,2024-03-14,145,42.07,6100.27,Transfer,4838,319,Yes
INV-0013,PRD-015,Sugar 50kg,Perishables,WH-005,SUP-007,2024-07-04,122,149.41,18228.4,Outbound,4224,352,Yes
INV-0014,PRD-002,Steel Rod 10mm,Raw Materials,WH-001,SUP-002,2024-03-19,331,79.9,26446.77,Adjustment,4935,132,Yes
INV-0015,PRD-007,Aluminium Sheet 2mm,Raw Materials,WH-004,SUP-008,2024-09-27,138,239.98,33117.46,Inbound,988,449,No
INV-0016,PRD-015,Sugar 50kg,Perishables,WH-005,SUP-005,2024-11-24,184,120.63,22195.08,Adjustment,1345,332,Yes
INV-0017,PRD-001,Microcontroller Board,Electronics,WH-003,SUP-003,2024-09-16,477,416.97,198895.27,Transfer,4208,411,Yes
